STATION,STATION_NAME,DATE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110822,8/22/11,0.12,0,0,-9999,71,60
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110823,8/23/11,0,0,0,-9999,77,60
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110824,8/24/11,0,0,0,-9999,84,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110825,8/25/11,0,0,0,-9999,82,58
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110826,8/26/11,0,0,0,-9999,84,59
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110827,8/27/11,0,0,0,-9999,84,56
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110828,8/28/11,0,0,0,-9999,80,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110829,8/29/11,0,0,0,-9999,70,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110830,8/30/11,0.01,0,0,-9999,69,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110831,8/31/11,0,0,0,-9999,69,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110901,9/1/11,0,0,0,-9999,73,50
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110902,9/2/11,0,0,0,-9999,71,56
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110903,9/3/11,0,0,0,-9999,82,53
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110904,9/4/11,0,0,0,-9999,83,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110905,9/5/11,0,0,0,-9999,82,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110906,9/6/11,0,0,0,-9999,84,53
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110907,9/7/11,0,0,0,-9999,83,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110908,9/8/11,0,0,0,-9999,85,58
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110909,9/9/11,0,0,0,-9999,85,56
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110910,9/10/11,0,0,0,-9999,84,56
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110911,9/11/11,0,0,0,-9999,85,59
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110912,9/12/11,0,0,0,-9999,68,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110913,9/13/11,0,0,0,-9999,64,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110914,9/14/11,0,0,0,-9999,67,58
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110915,9/15/11,0,0,0,-9999,65,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110916,9/16/11,0,0,0,-9999,64,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110917,9/17/11,0.2,0,0,-9999,62,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110918,9/18/11,0.28,0,0,-9999,65,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110919,9/19/11,0.01,0,0,-9999,69,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110920,9/20/11,0,0,0,-9999,77,48
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110921,9/21/11,0,0,0,-9999,76,60
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110922,9/22/11,0,0,0,-9999,76,62
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110923,9/23/11,0,0,0,-9999,80,63
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110924,9/24/11,0,0,0,-9999,75,60
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110925,9/25/11,0.19,0,0,-9999,67,55
